stockid,ticker,genre,name
1,AABA,Animation|Children's|Comedy,Altaba Inc. - Common Stock
2,AAL,Adventure|Children's|Fantasy,"American Airlines Group, Inc. - Common Stock"
3,AAME,Comedy|Romance,Atlantic American Corporation - Common Stock
4,AAOI,Comedy|Drama,"Applied Optoelectronics, Inc. - Common Stock"
5,AAON,Comedy,"AAON, Inc. - Common Stock"
6,AAPL,Action|Crime|Thriller,Apple Inc. - Common Stock
7,AAWW,Comedy|Romance,Atlas Air Worldwide Holdings - Common Stock
8,AAXJ,Adventure|Children's,iShares MSCI All Country Asia ex Japan Index Fund
9,AAXN,Action,"Axon Enterprise, Inc. - Common Stock"
10,ABAC,Action|Adventure|Thriller,"Renmin Tianli Group, Inc. - Common Shares"
11,ABCB,Comedy|Drama|Romance,Ameris Bancorp - Common Stock
12,ABCD,Comedy|Horror,"Cambium Learning Group, Inc. - Common Stock"
13,ABDC,Animation|Children's,Alcentra Capital Corp. - Common Stock
14,ABEO,Drama,Abeona Therapeutics Inc. - Common Stock
15,ABEOW,Action|Adventure|Romance,Abeona Therapeutics Inc. - Warrant
16,ABIL,Drama|Thriller,Ability Inc. - Ordinary Shares
17,ABIO,Drama|Romance,"ARCA biopharma, Inc. - Common Stock"
18,ABMD,Thriller,"ABIOMED, Inc. - Common Stock"
19,ABTX,Comedy,"Allegiance Bancshares, Inc. - Common Stock"
20,ABUS,Action,Arbutus Biopharma Corporation - Common Stock
21,ACAD,Action|Comedy|Drama,ACADIA Pharmaceuticals Inc. - Common Stock
22,ACBI,Crime|Drama|Thriller,"Atlantic Capital Bancshares, Inc. - Common Stock"
23,ACER,Thriller,Acer Therapeutics Inc. - Common Stock
24,ACET,Drama|Sci-Fi,Aceto Corporation - Common Stock
25,ACGL,Drama|Romance,Arch Capital Group Ltd. - Common Stock
26,ACGLO,Drama,"Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F"
27,ACGLP,Drama,Arch Capital Group Ltd. - Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs
28,ACHC,Romance,"Acadia Healthcare Company, Inc. - Common Stock"
29,ACHN,Adventure|Sci-Fi,"Achillion Pharmaceuticals, Inc. - Common Stock"
30,ACHV,Drama,"Achieve Life Sciences, Inc.  - Common Shares"
31,ACIA,Drama,"Acacia Communications, Inc. - Common Stock"
32,ACIU,Drama|Sci-Fi,AC Immune SA - Common Stock
33,ACIW,Adventure|Romance,"ACI Worldwide, Inc. - Common Stock"
34,ACLS,Children's|Comedy|Drama,"Axcelis Technologies, Inc. - Common Stock"
35,ACMR,Drama|Romance,"ACM Research, Inc. - Class A Common Stock"
36,ACNB,Drama,ACNB Corporation - Common Stock
